Id,Sales
1,4034.4
857,4683.4
1713,5143.2
2569,5688.6
3425,0.0
4281,4311.1
5137,4103.1
5993,3810.1
6849,4182.7
7705,4191.1
8561,4601.0
9417,0.0
10273,4202.0
11129,4459.8
11985,4526.4
12841,4840.9
13697,4834.0
14553,5474.9
15409,0.0
16265,3969.8
17121,4328.3
17977,4253.8
18833,4230.4
19689,4362.5
20545,4547.7
21401,0.0
22257,4059.1
23113,4117.9
23969,4357.1
24825,4493.0
25681,5374.3
26537,5554.4
27393,0.0
28249,4018.3
29105,4307.5
29961,4099.9
30817,3985.0
31673,3972.6
32529,4492.5
33385,0.0
34241,4103.2
35097,4583.4
35953,4466.2
36809,5046.6
37665,5430.1
38521,5603.5
39377,0.0
40233,4465.5
2,7717.6
858,7946.2
1714,8704.8
2570,11000.8
3426,0.0
4282,4509.0
5138,5866.3
5994,6139.3
6850,6117.5
7706,6475.2
8562,6785.9
9418,0.0
10274,4659.8
11130,7038.8
11986,7690.3
12842,8624.8
13698,8394.0
14554,9986.2
15410,0.0
16266,4191.7
17122,6389.1
17978,6006.7
18834,6115.0
19690,6243.4
20546,6483.8
21402,0.0
22258,4131.4
23114,7324.1
23970,7142.2
24826,7398.2
25682,8329.4
26538,10073.6
27394,0.0
28250,3528.1
29106,5784.1
29962,6163.6
30818,6346.4
31674,6028.0
32530,7134.2
33386,0.0
34242,3813.6
35098,7019.7
35954,7922.9
36810,7820.0
37666,8413.4
38522,9785.3
39378,0.0
40234,4334.2
3,9221.8
859,8928.9
1715,10992.2
2571,11226.9
3427,0.0
4283,5916.3
5139,8367.3
5995,8860.9
6851,9011.8
7707,8858.5
8563,9295.5
9419,0.0
10275,6496.7
11131,10222.1
11987,9604.2
12843,10451.3
13699,11207.6
14555,14088.7
15411,0.0
16267,8117.6
17123,10011.0
17979,9135.0
18835,9158.3
19691,9950.1
20547,10376.8
21403,0.0
22259,7269.3
23115,10352.4
23971,11012.9
24827,10338.8
25683,12348.0
26539,14412.1
27395,0.0
28251,8017.7
29107,9774.5
29963,9787.7
30819,9790.2
31675,10607.6
32531,10636.9
33387,0.0
34243,7966.8
35099,10020.7
35955,11540.5
36811,10258.1
37667,13822.8
38523,15726.3
39379,0.0
40235,8062.4
4,6395.6
860,6283.3
1716,7056.7
2572,7854.4
3428,0.0
4284,3715.1
5140,5316.6
5996,5531.7
6852,4986.1
7708,5099.8
8564,5715.4
9420,0.0
10276,3522.6
11132,5860.6
11988,5779.7
12844,6515.8
13700,6876.2
14556,7104.1
15412,0.0
16268,3578.5
17124,5501.0
17980,5220.6
18836,4790.1
19692,4839.1
20548,5324.2
21404,0.0
22260,3010.9
23116,5065.6
23972,6406.6
24828,5966.4
25684,6822.1
26540,7378.8
27396,0.0
28252,3162.0
29108,5351.0
29964,5133.1
30820,5028.6
31676,4942.2
32532,4688.6
33388,0.0
34244,3070.7
35100,5391.0
35956,5919.6
36812,6044.1
37668,6526.1
38524,8256.7
39380,0.0
40236,3694.5
5,6133.3
861,6162.8
1717,7141.7
2573,9512.6
3429,0.0
4285,6545.4
5141,5953.8
5997,6579.5
6853,6613.9
7709,6769.9
8565,6668.9
9421,0.0
10277,6016.0
11133,7199.7
11989,6855.6
12845,7785.7
13701,8229.7
14557,9744.9
15413,0.0
16269,6680.0
17125,6469.5
17981,6470.6
18837,6830.9
19693,6501.0
20549,6966.2
21405,0.0
22261,6500.0
23117,7004.9
23973,6835.8
24829,7688.7
25685,7729.5
26541,9654.6
27397,0.0
28253,6365.5
29109,5615.7
29965,6789.8
30821,7084.7
31677,6635.6
32533,7105.1
33389,0.0
34245,6458.3
35101,6668.7
35957,6786.8
36813,6722.4
37669,7424.7
38525,9847.4
39381,0.0
40237,6380.2
6,5531.5
862,5797.9
1718,6105.3
2574,7383.9
3430,0.0
4286,4570.8
5142,5604.9
5998,5722.0
6854,5236.7
7710,5342.3
8566,5916.1
9422,0.0
10278,4568.3
11134,5515.3
11990,5707.6
12846,5658.1
13702,6041.3
14558,6110.8
15414,0.0
16270,4349.7
17126,5598.5
17982,4857.9
18838,4715.5
19694,5023.5
20550,5245.3
21406,0.0
22262,4341.2
23118,5059.7
23974,5129.0
24830,5514.2
25686,5131.5
26542,7583.2
27398,0.0
28254,5130.5
29110,5679.2
29966,5216.3
30822,5076.3
31678,5252.4
32534,5743.2
33390,0.0
34246,4901.1
35102,5403.7
35958,5522.1
36814,5938.5
37670,6771.4
38526,7723.0
39382,0.0
40238,3992.3
7,7662.8
863,8225.8
1719,9578.9
2575,9707.1
3431,0.0
4287,5949.2
5143,6293.1
5999,7145.5
6855,7157.8
7711,7210.5
8567,7266.6
9423,0.0
10279,6333.6
11135,8083.4
11991,8102.8
12847,9251.9
13703,9593.5
14559,9113.8
15415,0.0
16271,6333.7
17127,8930.2
17983,7366.3
18839,7469.7
19695,8232.4
20551,7700.0
21407,0.0
22263,6247.1
23119,8861.0
23975,9005.6
24831,9518.8
25687,9765.0
26543,9748.7
27399,0.0
28255,5577.4
29111,7480.7
29967,7103.5
30823,7233.3
31679,7600.7
32535,8008.0
33391,0.0
34247,6202.5
35103,8255.4
35959,7832.6
36815,8870.5
37671,9297.9
38527,11928.1
39383,0.0
40239,6265.5
8,7584.3
864,7678.6
1720,8768.9
2576,11179.0
3432,0.0
4288,5385.6
5144,6154.7
6000,6263.4
6856,6152.9
7712,6364.9
8568,6281.1
9424,0.0
10280,5158.6
11136,7798.6
11992,8705.0
12848,9057.1
13704,10196.0
14560,10933.3
15416,0.0
16272,6873.2
17128,6774.6
17984,6822.9
18840,6728.2
19696,6958.8
20552,8335.6
21408,0.0
22264,6352.6
23120,7880.5
23976,7997.8
24832,8677.0
25688,9378.4
26544,10622.2
27400,0.0
28256,5621.4
29112,7514.9
29968,6628.0
30824,6836.4
31680,6637.9
32536,7968.8
33392,0.0
34248,5550.9
35104,7734.5
35960,7740.4
36816,7818.5
37672,9016.8
38528,11281.0
39384,0.0
40240,5927.1
9,4610.7
865,4305.5
1721,5169.3
2577,6186.6
3433,0.0
4289,3957.0
5145,5063.6
6001,3721.1
6857,3773.1
7713,4188.0
8569,4223.8
9425,0.0
10281,4236.8
11137,4671.6
11993,4339.6
12849,4684.9
13705,5407.8
14561,6125.0
15417,0.0
16273,4515.0
17129,5452.1
17985,4016.1
18841,3733.2
19697,3979.3
20553,4086.2
21409,0.0
22265,5193.3
23121,4891.0
23977,4584.2
24833,4698.9
25689,5300.9
26545,6163.9
27401,0.0
28257,0.0
29113,5325.7
29969,5590.0
30825,3965.2
31681,5386.9
32537,4420.7
33393,0.0
34249,0.0
35105,4630.7
35961,4872.4
36817,4109.8
